DATE,HOUST1F
2003-07-01,1535
2003-08-01,1484
2003-09-01,1555
2003-10-01,1631
2003-11-01,1694
2003-12-01,1647
2004-01-01,1560
2004-02-01,1481
2004-03-01,1632
2004-04-01,1646
2004-05-01,1652
2004-06-01,1526
2004-07-01,1675
2004-08-01,1691
2004-09-01,1555
2004-10-01,1660
2004-11-01,1458
2004-12-01,1714
2005-01-01,1739
2005-02-01,1792
2005-03-01,1583
2005-04-01,1658
2005-05-01,1714
2005-06-01,1719
2005-07-01,1724
2005-08-01,1728
2005-09-01,1789
2005-10-01,1740
2005-11-01,1808
2005-12-01,1628
2006-01-01,1823
2006-02-01,1804
2006-03-01,1601
2006-04-01,1511
2006-05-01,1570
2006-06-01,1451
2006-07-01,1424
2006-08-01,1364
2006-09-01,1384
2006-10-01,1212
2006-11-01,1290
2006-12-01,1249
2007-01-01,1130
2007-02-01,1189
2007-03-01,1202
2007-04-01,1197
2007-05-01,1130
2007-06-01,1131
2007-07-01,1042
2007-08-01,957
2007-09-01,935
2007-10-01,878
2007-11-01,833
2007-12-01,805
2008-01-01,773
2008-02-01,724
2008-03-01,728
2008-04-01,682
2008-05-01,679
2008-06-01,647
2008-07-01,615
2008-08-01,607
2008-09-01,537
2008-10-01,542
2008-11-01,459
2008-12-01,403
2009-01-01,358
2009-02-01,358
2009-03-01,353
2009-04-01,387
2009-05-01,408
2009-06-01,482
2009-07-01,509
2009-08-01,487
2009-09-01,510
2009-10-01,476
2009-11-01,497
2009-12-01,484
2010-01-01,510
2010-02-01,526
2010-03-01,542
2010-04-01,566
2010-05-01,457
2010-06-01,445
2010-07-01,426
2010-08-01,417
2010-09-01,449
2010-10-01,438
2010-11-01,452
2010-12-01,429
2011-01-01,430
2011-02-01,391
2011-03-01,429
2011-04-01,415
2011-05-01,414
2011-06-01,435
2011-07-01,432
2011-08-01,422
2011-09-01,418
2011-10-01,439
2011-11-01,465
2011-12-01,522
2012-01-01,518
2012-02-01,466
2012-03-01,472
2012-04-01,504
2012-05-01,518
2012-06-01,524
2012-07-01,517
2012-08-01,536
2012-09-01,594
2012-10-01,611
2012-11-01,569
2012-12-01,615
2013-01-01,604.0
2013-02-01,651.0
2013-03-01,624.0
2013-04-01,587.0
2013-05-01,608.0
2013-06-01,614.0
2013-07-01,593.0
2013-08-01,631.0
2013-09-01,577.0
2013-10-01,595.0
2013-11-01,699.0
2013-12-01,647.0
2014-01-01,567.0
2014-02-01,594.0
2014-03-01,652.0
2014-04-01,646.0
2014-05-01,652.0
2014-06-01,603.0
2014-07-01,656.0
2014-08-01,644.0
2014-09-01,664.0
2014-10-01,699.0
2014-11-01,658.0
2014-12-01,720.0
2015-01-01,703.0
2015-02-01,584.0
2015-03-01,627.0
2015-04-01,742.0
2015-05-01,708.0
2015-06-01,700.0
2015-07-01,759.0
2015-08-01,734.0
2015-09-01,746.0
2015-10-01,705.0
2015-11-01,774.0
2015-12-01,765.0
2016-01-01,752.0
2016-02-01,859.0
2016-03-01,753.0
2016-04-01,777.0
2016-05-01,753.0
2016-06-01,769.0
2016-07-01,769.0
2016-08-01,734.0
2016-09-01,777.0
2016-10-01,859.0
2016-11-01,817.0
2016-12-01,801.0
2017-01-01,785.0
2017-02-01,864.0
2017-03-01,836.0
2017-04-01,825.0
2017-05-01,832.0
2017-06-01,867.0
2017-07-01,841.0
2017-08-01,867.0
2017-09-01,839.0
2017-10-01,878.0
2017-11-01,924.0
2017-12-01,824.0
2018-01-01,872.0
2018-02-01,894.0
2018-03-01,875.0
2018-04-01,908.0
2018-05-01,970.0
2018-06-01,866.0
2018-07-01,869.0
2018-08-01,900.0
2018-09-01,875.0
2018-10-01,872.0
2018-11-01,781.0
2018-12-01,775.0
2019-01-01,925.0
2019-02-01,779.0
2019-03-01,831.0
2019-04-01,870.0
2019-05-01,858.0
2019-06-01,864.0
2019-07-01,899.0
2019-08-01,903.0
2019-09-01,920.0
2019-10-01,898.0
2019-11-01,911.0
2019-12-01,1009.0
2020-01-01,968.0
2020-02-01,1039.0
2020-03-01,879.0
2020-04-01,676.0
2020-05-01,750.0
2020-06-01,904.0
2020-07-01,1012.0
2020-08-01,1029.0
2020-09-01,1116.0
2020-10-01,1180.0
2020-11-01,1173.0
2020-12-01,1311.0
2021-01-01,1115.0
2021-02-01,1050.0
2021-03-01,1227.0
2021-04-01,1043.0
2021-05-01,1109.0
2021-06-01,1173.0
2021-07-01,1136.0
2021-08-01,1099.0
2021-09-01,1094.0
2021-10-01,1087.0
2021-11-01,1231.0
2021-12-01,1217.0
2022-01-01,1157.0
2022-02-01,1211.0
2022-03-01,1179.0
2022-04-01,1176.0
2022-05-01,1067.0
2022-06-01,1010.0
2022-07-01,898.0
2022-08-01,919.0
2022-09-01,887.0
2022-10-01,858.0
2022-11-01,804.0
2022-12-01,887.0
2023-01-01,823.0
2023-02-01,835.0
2023-03-01,843.0
2023-04-01,847.0
2023-05-01,1012.0
2023-06-01,930.0
2023-07-01,988.0
