DATE,CSUSHPISA,PERMIT1,EMRATIO,HSN1F,HNFSEPUSSA,HOUST1F,COMPU1USA,TLRESCONS,GDP,HOUSTSFLAA1FQ,DRSFRMACBS,RSAHORUSQ156S
2003-07-01,133.77700000000002,1478.0,62.1,1168.0,342.0,1535.0,1424.0,454040.0,11566.669,2334.0,1.73,68.3
2003-08-01,134.969,1521.0,62.1,1206.0,346.0,1484.0,1329.0,458676.0,11635.190666666667,2341.6666666666665,1.74,68.36666666666666
2003-09-01,136.29399999999998,1533.0,62.0,1131.0,350.0,1555.0,1413.0,463954.0,11703.712333333333,2349.3333333333335,1.75,68.43333333333334
2003-10-01,137.531,1566.0,62.1,1144.0,361.0,1631.0,1479.0,475234.0,11772.234,2357.0,1.76,68.5
2003-11-01,138.79399999999998,1513.0,62.3,1093.0,366.0,1694.0,1439.0,490441.0,11822.638333333334,2359.6666666666665,1.7233333333333334,68.56666666666666
2003-12-01,140.179,1549.0,62.2,1129.0,370.0,1647.0,1434.0,508637.0,11873.042666666666,2362.3333333333335,1.6866666666666665,68.63333333333334
2004-01-01,141.64600000000002,1539.0,62.3,1165.0,374.0,1560.0,1434.0,503659.0,11923.447,2365.0,1.65,68.7
2004-02-01,143.192,1564.0,62.3,1159.0,372.0,1481.0,1447.0,505081.0,11986.569666666666,2366.6666666666665,1.6333333333333333,68.93333333333334
2004-03-01,145.059,1648.0,62.2,1276.0,381.0,1632.0,1491.0,511829.0,12049.692333333334,2368.3333333333335,1.6166666666666667,69.16666666666667
2004-04-01,146.593,1617.0,62.3,1186.0,383.0,1646.0,1645.0,517912.0,12112.815,2370.0,1.6,69.4
2004-05-01,148.186,1675.0,62.3,1241.0,383.0,1652.0,1505.0,528180.0,12176.979000000001,2371.6666666666665,1.5866666666666667,69.23333333333333
2004-06-01,149.85,1615.0,62.4,1180.0,383.0,1526.0,1521.0,533358.0,12241.143,2373.3333333333335,1.5733333333333335,69.06666666666668
2004-07-01,151.338,1620.0,62.5,1088.0,400.0,1675.0,1546.0,549031.0,12305.307,2375.0,1.56,68.9
2004-08-01,152.63299999999998,1609.0,62.4,1175.0,405.0,1691.0,1554.0,557411.0,12379.276,2390.3333333333335,1.51,68.96666666666667
2004-09-01,154.179,1586.0,62.3,1214.0,410.0,1555.0,1533.0,552375.0,12453.245,2405.6666666666665,1.46,69.03333333333333
2004-10-01,155.75,1593.0,62.3,1305.0,413.0,1660.0,1539.0,556425.0,12527.214,2421.0,1.41,69.1
2004-11-01,157.52700000000002,1572.0,62.5,1179.0,418.0,1458.0,1464.0,555944.0,12607.238,2441.3333333333335,1.4133333333333333,69.13333333333333
2004-12-01,159.33,1613.0,62.4,1242.0,422.0,1714.0,1655.0,571871.0,12687.262,2461.6666666666665,1.4166666666666665,69.16666666666667
2005-01-01,161.28799999999998,1654.0,62.4,1203.0,441.0,1739.0,1589.0,581168.0,12767.286,2482.0,1.42,69.2
2005-02-01,163.344,1630.0,62.4,1319.0,446.0,1792.0,1608.0,594003.0,12819.076000000001,2469.3333333333335,1.4633333333333334,69.03333333333333
2005-03-01,165.812,1580.0,62.4,1328.0,445.0,1583.0,1524.0,597200.0,12870.866,2456.6666666666665,1.5066666666666666,68.86666666666667
2005-04-01,167.50099999999998,1654.0,62.7,1260.0,445.0,1658.0,1626.0,603975.0,12922.656,2444.0,1.55,68.7
2005-05-01,169.351,1644.0,62.8,1286.0,450.0,1714.0,1750.0,609170.0,12995.984666666667,2448.6666666666665,1.5633333333333335,68.7
2005-06-01,171.19,1683.0,62.7,1274.0,455.0,1719.0,1679.0,622726.0,13069.313333333334,2453.3333333333335,1.5766666666666667,68.7
2005-07-01,172.86,1722.0,62.8,1389.0,464.0,1724.0,1639.0,634572.0,13142.642,2458.0,1.59,68.7
2005-08-01,174.442,1716.0,62.9,1255.0,476.0,1728.0,1649.0,639501.0,13203.162666666667,2462.3333333333335,1.6066666666666667,68.76666666666667
2005-09-01,176.438,1798.0,62.8,1244.0,487.0,1789.0,1631.0,652748.0,13263.683333333332,2466.6666666666665,1.6233333333333333,68.83333333333334
2005-10-01,178.028,1742.0,62.8,1336.0,490.0,1740.0,1618.0,664407.0,13324.204,2471.0,1.64,68.9
2005-11-01,179.68,1730.0,62.7,1214.0,502.0,1808.0,1633.0,670757.0,13415.856,2481.0,1.63,68.8
2005-12-01,180.91,1661.0,62.8,1239.0,511.0,1628.0,1662.0,676135.0,13507.508,2491.0,1.62,68.7
2006-01-01,182.321,1689.0,62.9,1174.0,523.0,1823.0,1663.0,681263.0,13599.16,2501.0,1.61,68.6
2006-02-01,183.287,1643.0,63.0,1061.0,539.0,1804.0,1742.0,684482.0,13650.581333333334,2497.3333333333335,1.6133333333333335,68.66666666666666
2006-03-01,184.364,1551.0,63.1,1116.0,552.0,1601.0,1911.0,674457.0,13702.002666666667,2493.6666666666665,1.6166666666666667,68.73333333333333
2006-04-01,184.329,1496.0,63.0,1123.0,565.0,1511.0,1737.0,656899.0,13753.424,2490.0,1.62,68.8
2006-05-01,184.156,1450.0,63.1,1086.0,565.0,1570.0,1609.0,640049.0,13792.345333333335,2482.6666666666665,1.6600000000000001,68.83333333333333
2006-06-01,183.507,1393.0,63.1,1074.0,566.0,1451.0,1742.0,621219.0,13831.266666666666,2475.3333333333335,1.7,68.86666666666667
2006-07-01,183.068,1307.0,63.0,965.0,572.0,1424.0,1654.0,604020.0,13870.188,2468.0,1.74,68.9
2006-08-01,182.594,1282.0,63.1,1035.0,566.0,1364.0,1614.0,590189.0,13926.645333333334,2486.3333333333335,1.8,68.86666666666667
2006-09-01,182.798,1218.0,63.1,1016.0,559.0,1384.0,1675.0,579753.0,13983.102666666666,2504.6666666666665,1.8599999999999999,68.83333333333333
2006-10-01,183.198,1175.0,63.3,941.0,554.0,1212.0,1559.0,567752.0,14039.56,2523.0,1.92,68.8
2006-11-01,183.609,1163.0,63.3,1003.0,543.0,1290.0,1525.0,555299.0,14098.257,2524.6666666666665,1.9733333333333334,68.7
2006-12-01,184.139,1198.0,63.4,998.0,536.0,1249.0,1509.0,551740.0,14156.954,2526.3333333333335,2.026666666666667,68.6
2007-01-01,184.517,1174.0,63.3,891.0,538.0,1130.0,1501.0,544096.0,14215.651,2528.0,2.08,68.5
2007-02-01,184.598,1136.0,63.3,828.0,544.0,1189.0,1318.0,538260.0,14277.794666666667,2521.0,2.15,68.43333333333334
2007-03-01,184.15,1147.0,63.3,833.0,545.0,1202.0,1312.0,534655.0,14339.938333333334,2514.0,2.22,68.36666666666666
2007-04-01,183.01,1058.0,63.0,887.0,548.0,1197.0,1276.0,530749.0,14402.082,2507.0,2.29,68.3
2007-05-01,181.6,1042.0,63.0,842.0,545.0,1130.0,1278.0,521499.0,14456.093666666668,2502.6666666666665,2.43,68.2
2007-06-01,180.254,995.0,63.0,793.0,542.0,1131.0,1220.0,513524.0,14510.105333333333,2498.3333333333335,2.57,68.1
2007-07-01,179.111,978.0,62.9,778.0,537.0,1042.0,1208.0,503486.0,14564.117,2494.0,2.71,68.0
2007-08-01,178.116,916.0,62.7,699.0,533.0,957.0,1241.0,488816.0,14614.430666666667,2509.0,2.84,67.93333333333334
2007-09-01,177.558,855.0,62.9,686.0,527.0,935.0,1085.0,472995.0,14664.744333333334,2524.0,2.97,67.86666666666666
2007-10-01,176.62400000000002,821.0,62.7,727.0,514.0,878.0,1138.0,455045.0,14715.058,2539.0,3.1,67.8
2007-11-01,175.14700000000002,795.0,62.9,641.0,503.0,833.0,1128.0,439144.0,14712.218,2529.3333333333335,3.2933333333333334,67.83333333333333
